CLASS,VALUE
M           ,55417.8
F         ,24375.48
F         ,60642.96
F         ,66915.6
F         ,55129.92
F         ,50379.84
F         ,45799.8
F         ,59369.76
F         ,59507.64
F         ,27066.24
F         ,45799.8
F         ,46173.6
F         ,69999.96
M           ,62049.72
F         ,62381.88
F         ,59566.68
F         ,56686.68
F         ,33838.08
F         ,48526.2
M           ,50379.84
F         ,63118.2
F         ,45799.8
F         ,28140.6
F         ,57475.8
F         ,58398.96
F         ,50379.84
F         ,36787.32
F         ,45799.8
F         ,34917.96
F         ,45799.8
F         ,58398.96
F         ,55678.8
F         ,54243.96
M           ,58398.96
F         ,45799.8
F         ,55129.92
F         ,63103.92
F         ,41714.76
F         ,51253.2
M           ,58398.96
F         ,54346.8
F         ,41976
M           ,36975.96
F         ,50976.84
M           ,45799.8
M           ,62132.64
M           ,56987.4
M           ,36975.96
F         ,50379.84
F         ,56974.32
F         ,24375.48
F         ,45799.8
M           ,53420.4
F         ,58187.28
F         ,54439.68
F         ,24375.48
F         ,71957.16
F         ,45799.8
F         ,60642.96
F         ,35507.52
F         ,54097.68
F         ,33541.92
F         ,78598.2
M           ,45799.8
F         ,50379.84
M           ,94500
F         ,24375.48
F         ,60815.28
F         ,33838.08
F         ,25532.76
F         ,45799.8
F         ,51196.8
F         ,41976
F         ,57249.48
F         ,64663.32
M           ,54869.28
F         ,45799.8
F         ,40501.2
F         ,67395
M           ,63103.92
F         ,60642.96
F         ,57448.92
F         ,27385.8
F         ,25532.76
F         ,62486.88
F         ,25594.2
F         ,58398.96
M           ,49326.84
F         ,79228.8
F         ,34094.28
M           ,60642.96
F         ,51465
F         ,57816.48
M           ,55129.92
F         ,28718.64
M           ,55129.92
F         ,48098.16
M           ,26331.96
F         ,54097.8
F         ,48098.16
F         ,58811.28
F         ,50379.84
F         ,48098.16
F         ,32970.36
F         ,45799.8
F         ,45799.8
M           ,45157.92
F         ,45799.8
M           ,55129.92
F         ,60002.88
F         ,44019.84
F         ,55129.92
F         ,56987.4
F         ,59507.4
F         ,48098.16
F         ,24375.48
F         ,48939.48
F         ,50829.48
F         ,56987.4
M           ,68636.88
F         ,55129.92
F         ,58187.4
F         ,24375.48
F         ,70992.72
F         ,78750
F         ,60511.56
F         ,55129.92
F         ,78184.56
F         ,70299.12
F         ,56987.4
F         ,26990.28
F         ,45799.8
F         ,54665.28
F         ,26859.12
F         ,55417.8
F         ,50379.84
F         ,62545.08
F         ,50379.84
F         ,51923.04
F         ,60642.96
M           ,55417.8
M           ,56317.2
M           ,67404.24
F         ,52908
F         ,57723
F         ,35458.44
M           ,25532.64
F         ,26426.28
M           ,133126.68
F         ,45799.8
F         ,45799.8
F         ,61069.08
F         ,45799.8
M           ,25532.76
F         ,56155.8
F         ,58398.96
F         ,34917.96
F         ,52908
M           ,41976
F         ,24375.48
F         ,50379.84
F         ,58187.4
F         ,24375.48
F         ,50379.84
M           ,56987.4
M           ,45799.8
F         ,55417.8
M           ,28175.16
M           ,55129.92
M           ,45799.8
F         ,48098.16
F         ,60613.92
F         ,34917.96
F         ,60976.44
F         ,25532.76
F         ,71475.6
M           ,60642.96
F         ,56962.8
F         ,45799.8
F         ,55417.8
F         ,49060.08
F         ,50379.84
F         ,50895.72
F         ,52908
M           ,47402.76
F         ,54915.72
F         ,45799.8
F         ,24375.48
F         ,57881.28
F         ,55129.92
F         ,45799.8
F         ,55129.92
F         ,76363.08
F         ,35175.6
F         ,60642.96
F         ,28285.2
F         ,50379.84
F         ,45799.8
F         ,66945.6
F         ,54513.24
F         ,50379.84
F         ,54194.52
F         ,55129.92
F         ,50379.84
M           ,65000.04
F         ,53613.24
F         ,60764.04
F         ,25788.12
F         ,48098.16
M           ,45799.8
F         ,57249.48
F         ,87809.4
F         ,45799.8
F         ,55417.8
F         ,58187.4
M           ,34858.92
F         ,41976
F         ,52044.96
F         ,55129.92
F         ,53105.76
M           ,56987.4
M           ,45157.92
F         ,70008.6
M           ,56987.4
F         ,55129.92
F         ,78750
F         ,50379.84
M           ,56983.32
F         ,38496.48
F         ,35218.32
F         ,58398.96
M           ,70962
F         ,35868.36
F         ,29811.36
F         ,29406
F         ,45799.8
F         ,60518.76
F         ,50379.84
F         ,45799.8
F         ,24375.48
F         ,45799.8
F         ,45799.8
F         ,55129.92
F         ,56987.4
F         ,44815.68
F         ,55417.8
F         ,58398.96
F         ,57342.96
M           ,51613.92
F         ,62928.36
F         ,50379.84
F         ,58923.24
F         ,77861.64
M           ,54294.12
M           ,41976
F         ,68987.4
F         ,58187.4
M           ,45799.8
F         ,60046.56
F         ,50379.84
F         ,50379.84
F         ,55129.92
F         ,28685.76
F         ,45939.48
F         ,69418.92
F         ,32187.72
F         ,53906.4
M           ,63103.92
F         ,55521.48
F         ,46824.24
F         ,45799.8
F         ,55129.92
M           ,56600.4
F         ,53870.04
F         ,67216.2
F         ,45799.8
F         ,62260.44
F         ,62046.84
F         ,52044.96
F         ,57475.8
F         ,45799.8
F         ,50379.84
F         ,60642.96
F         ,45799.8
F         ,25594.2
F         ,61582.32
M           ,45799.8
F         ,60912.36
F         ,45799.8
F         ,73057.2
F         ,46208.64
F         ,45799.8
F         ,45799.8
F         ,52908
F         ,50379.84
M           ,45799.8
F         ,63610.44
M           ,45799.8
F         ,25594.2
F         ,45799.8
F         ,90846
M           ,78750
F         ,29520.96
F         ,28339.68
F         ,57760.56
F         ,65704.92
F         ,26032.92
M           ,39763.8
F         ,48098.16
F         ,26747.76
F         ,41963.64
F         ,32070.96
F         ,41714.76
F         ,45799.8
F         ,25532.76
F         ,26809.32
F         ,57886.92
F         ,48098.16
F         ,45799.8
F         ,42243.96
M           ,155004
F         ,55129.92
F         ,31827.48
F         ,67827.6
F         ,60642.96
F         ,62260.44
F         ,25532.76
F         ,60853.44
F         ,47402.52
F         ,54638.16
F         ,45799.8
F         ,45799.8
F         ,58256.76
F         ,24375.48
F         ,38659.92
M           ,45799.8
F         ,60642.96
F         ,57189
M           ,25532.76
F         ,58989
F         ,45799.8
F         ,61480.2
F         ,69792.12
F         ,45799.8
F         ,112121.28
F         ,31386.24
F         ,60642.96
F         ,45799.8
F         ,47626.2
F         ,57884.4
M           ,66142.44
F         ,59120.88
F         ,55417.8
F         ,37186.8
F         ,47626.2
F         ,45799.8
F         ,83321.04
M           ,50379.84
F         ,50379.84
F         ,69999.96
M           ,50379.84
F         ,36566.4
F         ,62260.56
F         ,48098.16
F         ,24375.48
F         ,57249.48
F         ,54097.68
F         ,66609.48
M           ,45799.8
F         ,62486.88
F         ,56987.4
M           ,33799.8
F         ,57512.88
F         ,28320
F         ,24375.48
F         ,24375.48
F         ,50379.84
F         ,63048.72
F         ,25532.76
M           ,64054.8
F         ,26331.96
F         ,57188.64
F         ,27268.8
F         ,31568.64
F         ,60642.96
F         ,48098.16
F         ,58398.96
F         ,59666.16
F         ,48098.16
F         ,45799.8
F         ,62260.44
F         ,24375.48
F         ,45799.8
F         ,24375.36
M           ,51840
F         ,45799.8
M           ,45799.8
F         ,58989
M           ,39490.32
F         ,25531.56
F         ,45799.8
F         ,28632.36
F         ,48098.16
M           ,51560.76
F         ,55129.92
M           ,26331.96
F         ,50379.84
F         ,62486.88
F         ,62260.68
F         ,56987.4
F         ,55417.8
M           ,55129.92
F         ,45799.8
F         ,50379.84
M           ,26032.92
F         ,64397.64
M           ,33799.8
F         ,58989
F         ,60314.52
F         ,58187.28
F         ,48488.16
F         ,56987.4
F         ,36570.96
F         ,24375.48
F         ,59339.64
F         ,56987.4
F         ,26032.92
F         ,24909.96
F         ,31500.36
F         ,55129.92
F         ,60642.96
F         ,45799.8
F         ,56600.4
F         ,45799.8
F         ,62260.44
F         ,62486.88
F         ,55129.92
F         ,60642.96
F         ,27268.92
F         ,45520.92
F         ,42873.6
M           ,56987.4
F         ,45799.8
F         ,35224.56
M           ,58057.08
F         ,45799.8
F         ,45799.8
M           ,45799.8
F         ,51735.84
M           ,41464.8
M           ,45799.8
F         ,61776.84
F         ,26331.96
F         ,60046.44
F         ,24375.48
F         ,57312.24
F         ,50379.84
F         ,62486.88
F         ,45799.8
F         ,58154.88
F         ,50261.52
F         ,60967.2
F         ,28149.6
F         ,69999.96
F         ,45799.8
F         ,27320.04
F         ,60702.84
F         ,26081.76
F         ,25532.76
F         ,55417.8
F         ,50379.84
F         ,60609
F         ,45799.8
F         ,57249.48
F         ,46824.48
F         ,48939.48
M           ,24375.48
M           ,66958.68
F         ,68959.92
F         ,55129.92
F         ,62486.88
F         ,48098.16
F         ,34917.96
F         ,28339.68
F         ,59297.04
M           ,65533.92
M           ,37900.32
F         ,55129.92
M           ,27269.04
F         ,63903.84
F         ,26155.44
M           ,90278.04
M           ,61936.68
F         ,48098.16
F         ,27268.92
F         ,26032.92
F         ,61246.68
F         ,45799.8
F         ,45799.8
F         ,45799.8
M           ,61460.04
M           ,45799.8
F         ,45799.8
F         ,55417.8
F         ,58187.4
F         ,25532.76
F         ,64591.56
F         ,58398.96
F         ,45799.8
F         ,67521.24
F         ,60776.4
F         ,53628.72
M           ,65000.04
F         ,51500.88
F         ,55417.8
F         ,50379.84
F         ,56038.68
F         ,62260.32
F         ,34975.68
F         ,48098.16
F         ,44633.88
F         ,31587.48
F         ,42243.96
F         ,45799.8
F         ,45799.8
F         ,25530.24
M           ,45799.8
F         ,34083.84
M           ,42370.8
M           ,45799.8
M           ,49195.68
F         ,63065.76
F         ,45799.8
F         ,57951.12
F         ,59381.88
F         ,63765
F         ,52143.12
F         ,63911.52
F         ,61725.48
F         ,45799.8
F         ,60642.96
M           ,55072.32
F         ,50379.84
F         ,58187.4
F         ,55660.92
F         ,55417.8
F         ,26426.28
F         ,68886.12
F         ,54836.76
F         ,61257
F         ,69999.96
F         ,55417.8
F         ,45366.84
F         ,50379.84
F         ,58989
F         ,45799.8
F         ,48098.16
M           ,56744.04
F         ,75000
M           ,70654.92
F         ,58398.96
F         ,69999.96
F         ,85424.52
M           ,45799.8
F         ,45799.8
F         ,45799.8
F         ,64533
M           ,56733.24
F         ,61153.68
F         ,56600.52
F         ,29882.28
F         ,24375.48
F         ,55417.8
F         ,45799.8
F         ,61116.84
F         ,55129.92
F         ,45799.8
F         ,55129.92
F         ,64849.8
M           ,56987.4
F         ,45799.8
F         ,65212.56
F         ,25532.76
M           ,75859.92
M           ,50379.84
F         ,62260.44
M           ,55129.92
F         ,55129.92
M           ,45799.8
F         ,57093.96
F         ,26733.72
F         ,49088.88
F         ,45799.8
F         ,55129.92
F         ,45799.8
F         ,50379.84
F         ,54194.52
F         ,69999.96
F         ,59192.28
F         ,45799.8
F         ,61246.56
F         ,63118.2
F         ,62049.72
M           ,105601.68
F         ,26033.04
F         ,53825.04
F         ,70550.64
F         ,57249.48
F         ,62486.88
F         ,48322.92
F         ,50379.84
F         ,57884.4
M           ,45799.8
F         ,45226.2
M           ,55129.92
F         ,58965.12
F         ,24375.48
F         ,56616.24
F         ,50379.84
F         ,56987.4
F         ,81600
F         ,45799.8
F         ,58936.32
M           ,55669.8
M           ,36570.96
M           ,76649.88
F         ,55417.8
F         ,60642.96
F         ,60642.96
F         ,55129.92
F         ,26873.88
F         ,24375.48
F         ,51541.68
M           ,56987.4
F         ,27840
F         ,48098.16
F         ,24375.48
M           ,56987.4
F         ,25532.76
F         ,55129.92
F         ,45799.8
F         ,45226.2
F         ,54257.04
M           ,29960.52
M           ,56409.72
M           ,24375.48
F         ,58217.64
F         ,45799.8
F         ,69999.96
F         ,25532.76
F         ,50379.84
F         ,58187.4
F         ,45799.8
F         ,47626.2
F         ,58398.96
F         ,64887.96
F         ,50379.84
F         ,26943.96
M           ,64887.96
F         ,53895.96
M           ,48000
F         ,58348.68
F         ,29756.76
F         ,58398.96
F         ,60642.96
M           ,75000
F         ,58398.96
F         ,51114.96
F         ,37900.32
F         ,55129.92
F         ,50379.84
F         ,50790.96
F         ,49179.72
F         ,48098.16
F         ,75512.64
F         ,25594.2
M           ,49088.88
F         ,45799.8
M           ,33597.36
F         ,58187.4
F         ,46173.6
M           ,55136.76
M           ,60642.96
M           ,55129.92
F         ,45799.8
F         ,26331.96
F         ,51000.24
F         ,56987.4
M           ,26033.04
F         ,34482.72
F         ,69655.32
F         ,37900.32
F         ,50379.84
F         ,26467.32
M           ,51560.76
F         ,50379.84
F         ,60976.44
F         ,45799.8
F         ,45799.8
F         ,64374
F         ,49179.72
F         ,61655.76
F         ,30665.04
F         ,25532.76
M           ,45799.8
F         ,90401.16
F         ,54915.72
F         ,45799.8
F         ,39402.72
F         ,66329.16
M           ,58299.12
F         ,52897.68
M           ,45799.8
F         ,58603.68
F         ,60642.96
F         ,36975.96
F         ,60642.96
M           ,57238.2
F         ,58348.8
F         ,57886.92
M           ,37900.32
F         ,52908
F         ,55417.8
F         ,58398.96
F         ,50379.84
F         ,56987.4
F         ,55529.28
F         ,49179.72
M           ,56987.4
M           ,26809.32
F         ,50379.84
F         ,45799.8
F         ,59381.88
F         ,42908.64
F         ,60642.96
F         ,73820.76
F         ,45799.8
F         ,45799.8
M           ,45799.8
F         ,50379.84
F         ,45799.8
F         ,57000
F         ,35114.76
F         ,48434.04
F         ,60642.96
M           ,61584.6
F         ,60000
M           ,27591.84
F         ,45799.8
F         ,56155.8
F         ,48098.16
F         ,51560.4
F         ,58398.96
F         ,61246.68
M           ,57350.28
F         ,62649.72
F         ,31440.84
F         ,48098.16
F         ,45799.8
F         ,49179.72
M           ,52897.68
F         ,64533
F         ,55660.92
F         ,29439
M           ,58398.96
F         ,24375.48
F         ,65037.84
F         ,52044.96
F         ,50379.84
M           ,54996
F         ,55492.32
F         ,59507.64
F         ,50379.84
F         ,25532.76
F         ,59507.4
F         ,55417.8
F         ,45799.8
M           ,64916.16
F         ,50379.84
F         ,26032.92
M           ,54930.84
F         ,61459.44
F         ,34858.92
F         ,59381.76
F         ,25594.2
F         ,52044.96
F         ,58687.68
F         ,58398.96
F         ,24375.48
F         ,59507.4
F         ,54513.24
F         ,32976
F         ,62486.88
M           ,55417.8
F         ,31104.6
F         ,45799.8
F         ,50379.84
F         ,26944.08
F         ,50379.84
F         ,53080.92
F         ,45799.8
F         ,67224.24
F         ,27972.72
F         ,55129.92
F         ,54890.4
F         ,36314.28
F         ,55417.8
F         ,68480.76
F         ,60840.12
F         ,60642.96
M           ,51597.24
F         ,45799.8
F         ,45799.8
F         ,45799.8
F         ,47160.96
F         ,22969.68
F         ,50379.84
F         ,58187.4
F         ,24375.48
F         ,29205.36
F         ,62154.6
F         ,50379.84
F         ,55129.92
F         ,52908
F         ,32436.36
M           ,45799.8
F         ,58398.96
F         ,63953.4
F         ,52908
F         ,58187.4
F         ,62148
F         ,58989
F         ,45799.8
F         ,60000
F         ,64887.96
F         ,25991.04
F         ,53526.48
M           ,45799.8
M           ,26081.76
F         ,30750.48
F         ,55129.92
F         ,69999.96
F         ,56987.4
F         ,59931.36
F         ,54279.36
F         ,105999.96
F         ,65398.44
F         ,73104
F         ,50379.84
F         ,83991.6
F         ,49484.88
F         ,69019.68
F         ,52044.96
F         ,45799.8
F         ,58187.4
F         ,60642.96
F         ,55129.92
F         ,24375.48
F         ,65891.4
F         ,70620
M           ,47875.44
F         ,63551.04
F         ,50379.84
F         ,28245.6
F         ,59507.64
F         ,55558.32
F         ,45799.8
F         ,48098.16
F         ,45799.8
F         ,57660
F         ,55079.04
F         ,58151.64
F         ,61246.68
F         ,61256.88
F         ,25532.76
F         ,50526.36
F         ,45799.8
F         ,55129.92
F         ,50379.84
F         ,53828.04
F         ,45799.8
F         ,45799.8
F         ,73788
F         ,45799.8
F         ,28652.76
F         ,57425.28
F         ,57816.36
M           ,45799.8
M           ,30910.92
F         ,45799.8
F         ,50379.84
M           ,56987.4
F         ,59052.6
F         ,25594.2
F         ,65850
M           ,36615.96
F         ,101568.6
F         ,45799.8
M           ,48299.16
F         ,60169.92
F         ,52044.96
M           ,56987.4
F         ,54097.8
F         ,63627
F         ,56987.4
F         ,56600.52
F         ,58339.44
F         ,50379.84
F         ,50379.84
F         ,31922.52
F         ,45799.8
M           ,54346.8
F         ,55129.92
F         ,95760
M           ,45799.8
F         ,45799.8
M           ,55129.92
F         ,56743.92
M           ,60972.24
M           ,45799.8
F         ,45799.8
F         ,48098.16
M           ,45799.8
M           ,50379.84
F         ,45157.92
M           ,50379.84
F         ,26809.2
F         ,45799.8
F         ,64887.96
M           ,60045.72
F         ,55175.64
F         ,55678.8
F         ,59496.96
F         ,75000
F         ,50379.84
F         ,51613.92
F         ,67941.24
F         ,55129.92
F         ,50379.84
M           ,45799.8
F         ,78237.96
F         ,51250.68
F         ,55129.92
F         ,52143.12
F         ,27169.08
M           ,45799.8
F         ,45799.8
F         ,62618.88
M           ,68978.64
F         ,56987.4
F         ,86091.48
F         ,43133.16
F         ,45799.8
F         ,59766.12
F         ,62486.88
M           ,48098.16
F         ,55129.92
F         ,63611.04
M           ,52897.68
M           ,50379.84
F         ,48089.76
F         ,55129.92
F         ,45799.8
M           ,54836.76
F         ,27268.92
F         ,70025.76
M           ,56230.92
F         ,60699.48
F         ,55561.08
M           ,50379.84
M           ,54346.8
F         ,91141.68
M           ,57080.4
M           ,39379.32
F         ,48488.16
F         ,48526.2
F         ,45799.8
F         ,59507.4
M           ,53630.28
M           ,44626.2
F         ,67069.92
F         ,129013.44
M           ,59559.96
F         ,34129.2
F         ,67047.36
F         ,66791.04
F         ,56987.4
F         ,26454.48
F         ,48018.72
F         ,48098.16
F         ,52044.96
M           ,45799.8
F         ,31905.6
F         ,46173.6
F         ,50379.84
F         ,53778.96
F         ,25594.2
F         ,45799.8
M           ,55730.64
F         ,58088.4
F         ,45799.8
F         ,62545.08
F         ,45799.8
F         ,56987.4
F         ,25532.64
F         ,55072.32
F         ,45799.8
F         ,31587.36
F         ,41976
F         ,61460.04
F         ,36570.36
M           ,48536.04
M           ,56987.4
F         ,36581.64
F         ,55129.92
F         ,38318.76
F         ,62891.28
F         ,29439
F         ,64991.4
F         ,74848.8
F         ,54915.72
F         ,50379.84
M           ,50379.84
M           ,27351.12
M           ,50379.84
F         ,53715.6
F         ,34490.04
F         ,58398.96
F         ,55417.8
F         ,31782.12
F         ,57393.36
F         ,59391.72
F         ,45799.8
M           ,51613.92
F         ,55129.92
F         ,45799.8
F         ,64536.12
F         ,45799.8
F         ,62049.72
F         ,54836.76
F         ,45799.8
F         ,48098.16
F         ,47626.2
M           ,58187.4
F         ,56987.4
F         ,34917.96
M           ,57543
F         ,58805.04
M           ,44626.2
F         ,51046.56
F         ,25532.76
M           ,45799.8
F         ,45799.8
F         ,45799.8
F         ,57334.32
M           ,31683.72
F         ,51416.16
F         ,46173.6
F         ,50379.84
M           ,60642.96
F         ,24375.48
M           ,45799.8
F         ,45799.8
F         ,55129.92
F         ,34104.36
F         ,62260.44
F         ,58187.4
F         ,38145.48
F         ,57699.6
F         ,59566.68
F         ,52897.68
F         ,69999.96
F         ,50379.84
M           ,45799.8
M           ,50379.84
F         ,36166.44
M           ,62782.56
M           ,70018.8
F         ,50379.84
F         ,45799.8
F         ,55417.8
F         ,45799.8
F         ,50379.84
F         ,48098.16
F         ,30174.96
M           ,59507.64
F         ,50379.84
F         ,56578.2
M           ,105699.96
F         ,28825.44
M           ,50379.84
F         ,39226.68
F         ,41887.68
F         ,60642.96
F         ,61460.04
F         ,25532.76
F         ,55129.92
M           ,47921.64
F         ,50379.84
F         ,64533
F         ,24375.48
F         ,62500.68
F         ,55129.92
F         ,26968.44
F         ,55129.92
F         ,26426.28
M           ,52850.88
F         ,55129.92
F         ,59151.36
F         ,60642.96
F         ,27268.92
F         ,58665.96
F         ,46208.64
M           ,55129.92
F         ,55129.92
F         ,60642.96
F         ,45226.2
F         ,48098.16
M           ,86087.4
F         ,29019.84
F         ,27268.8
F         ,45799.8
F         ,50379.84
F         ,50993.88
M           ,66385.68
F         ,25532.76
F         ,58398.96
F         ,41976
F         ,24375.48
F         ,58187.4
F         ,49409.76
F         ,53542.32
F         ,57913.56
F         ,26809.32
F         ,58398.96
F         ,45799.8
F         ,55129.92
F         ,69999.96
F         ,45799.8
F         ,75000
F         ,56987.4
F         ,25594.2
M           ,65209.2
F         ,45799.8
M           ,50379.84
F         ,48098.16
F         ,51488.88
F         ,56260.8
F         ,61246.68
F         ,55417.8
F         ,24375.48
M           ,55417.8
F         ,58823.4
F         ,63611.04
M           ,49179.84
F         ,61246.56
F         ,58398.96
F         ,50379.84
M           ,52898.76
F         ,73430.4
F         ,46539.48
F         ,27840
F         ,51613.92
F         ,69999.96
F         ,50379.84
F         ,59576.28
F         ,45799.8
F         ,62121.48
F         ,58398.96
F         ,55129.92
F         ,55129.92
F         ,60642.96
F         ,50379.84
F         ,58187.4
F         ,45799.8
F         ,50379.84
F         ,80173.8
F         ,24375.48
M           ,28685.76
M           ,55417.8
F         ,67346.88
F         ,50248.56
M           ,65000.04
F         ,55417.8
F         ,63932.16
F         ,61651.56
M           ,56987.4
M           ,42873.6
F         ,55129.92
F         ,60642.96
F         ,58398.96
F         ,55129.92
F         ,45799.8
F         ,43403.16
F         ,45799.8
F         ,58187.4
F         ,44989.32
M           ,55597.32
F         ,61938.36
F         ,64221.36
F         ,47160.96
F         ,56616.24
M           ,27662.4
F         ,49313.4
F         ,55183.92
F         ,59507.64
F         ,56837.76
F         ,38824.8
F         ,46173.6
F         ,37922.52
M           ,51881.4
M           ,55114.92
F         ,48326.28
F         ,68296.08
F         ,45799.8
F         ,55678.8
F         ,56931.72
F         ,25594.2
F         ,63736.32
F         ,60000
F         ,65236.08
F         ,75000
F         ,45799.8
M           ,58187.4
F         ,45799.8
F         ,56987.4
F         ,58759.8
M           ,64999.92
F         ,62317.2
M           ,45799.8
F         ,56271
F         ,57699.6
M           ,60479.16
F         ,74000.04
F         ,54189.48
F         ,50379.84
M           ,45799.8
F         ,55129.92
F         ,55129.92
F         ,58989
F         ,55129.92
F         ,62260.56
F         ,54097.68
F         ,24909.96
F         ,42873.6
F         ,72000
F         ,54257.04
F         ,69999.96
F         ,28344.12
F         ,55129.92
F         ,51253.2
F         ,49179.72
M           ,55200
F         ,58398.96
F         ,55129.92
M           ,45799.8
F         ,45799.8
M           ,45799.8
F         ,45799.8
F         ,60642.96
F         ,84830.04
F         ,45799.8
F         ,33518.04
F         ,24375.48
F         ,65496.96
F         ,56232.24
F         ,61744.92
F         ,58187.4
F         ,41976
F         ,100949.88
F         ,56983.32
F         ,45799.8
F         ,48277.92
F         ,53054.88
M           ,25532.76
F         ,45799.8
M           ,55220.64
F         ,50379.84
F         ,45799.8
F         ,34691.16
F         ,28720.44
M           ,65000.04
F         ,61328.64
F         ,56745.6
F         ,48002.16
F         ,69999.96
F         ,45799.8
F         ,109008
F         ,30174.96
F         ,45799.8
F         ,24375.48
F         ,55417.8
F         ,45799.8
F         ,45799.8
M           ,48098.16
F         ,60642.96
F         ,60642.96
F         ,64543.44
F         ,67394.88
F         ,58287.96
F         ,50379.84
F         ,45799.8
F         ,55417.8
F         ,44022.72
F         ,45157.92
F         ,57369
M           ,55175.76
F         ,51573.6
F         ,35791.92
F         ,51609
F         ,82049.4
F         ,48098.16
M           ,26809.2
F         ,55371.12
M           ,57648.96
F         ,37200
F         ,64238.88
F         ,55417.8
F         ,75000
F         ,29665.44
F         ,53344.8
F         ,60642.96
F         ,61498.44
F         ,45799.8
F         ,29439
F         ,45799.8
F         ,30965.04
F         ,58398.96
F         ,64221.36
F         ,26033.04
F         ,58187.4
F         ,66958.68
F         ,26990.16
F         ,45799.8
F         ,24375.48
F         ,29732.64
F         ,26426.28
F         ,32220
M           ,45306.96
M           ,62486.88
M           ,58134
M           ,49179.72
F         ,45799.8
F         ,60642.96
F         ,63009.72
F         ,45799.8
F         ,37119.48
F         ,30996.96
F         ,59596.08
F         ,26994.48
F         ,45799.8
F         ,50443.92
F         ,55417.8
M           ,55129.92
F         ,30781.2
F         ,55633.56
F         ,52143
M           ,55925.04
F         ,45799.8
F         ,94500
F         ,27328.8
F         ,65725.44
F         ,56987.4
F         ,34983.36
F         ,45799.8
F         ,45201
F         ,27839.28
M           ,45799.8
F         ,43920.48
M           ,56987.4
F         ,60642.96
F         ,55417.8
F         ,51560.76
F         ,63103.92
F         ,24375.48
F         ,45799.8
F         ,55417.8
M           ,36955.2
F         ,35262.24
F         ,28448.4
F         ,71408.52
M           ,45799.8
M           ,24375.48
F         ,27268.92
F         ,63118.2
F         ,58097.64
F         ,44012.4
F         ,33733.08
F         ,55129.92
M           ,50379.84
F         ,45799.8
F         ,24375.48
F         ,62641.2
F         ,58398.96
F         ,45799.8
F         ,60642.96
F         ,55129.92
F         ,46173.6
F         ,31683.6
F         ,62143.2
F         ,52897.68
M           ,68666.28
F         ,48098.16
F         ,61675.92
F         ,34195.56
M           ,39490.32
F         ,48098.16
M           ,46173.6
F         ,58989
F         ,32171.4
F         ,45799.8
F         ,55660.92
F         ,64999.92
F         ,48345.84
F         ,55129.92
F         ,69999.96
F         ,55129.92
F         ,60642.96
F         ,25532.76
F         ,58398.96
M           ,24375.48
M           ,26331.96
F         ,57886.92
F         ,45799.8
F         ,51038.76
F         ,45799.8
F         ,31465.8
F         ,25532.76
M           ,70085.16
F         ,50379.84
F         ,45799.8
F         ,62260.44
F         ,55183.92
F         ,54836.76
F         ,24375.48
F         ,49088.88
F         ,72000
F         ,56987.4
F         ,33134.04
F         ,55417.8
F         ,65486.28
F         ,55417.8
F         ,154796.64
F         ,71711.76
F         ,54097.8
F         ,24375.48
F         ,54097.8
F         ,45799.8
F         ,25532.76
F         ,26873.88
F         ,32617.08
F         ,50379.84
M           ,60479.16
M           ,56733.36
M           ,72500.04
F         ,37639.08
F         ,45799.8
F         ,49134
F         ,57249.48
F         ,62260.44
M           ,59507.64
F         ,60642.96
F         ,58398.96
F         ,55417.8
F         ,60582.84
F         ,55417.8
F         ,69999.96
F         ,39520.92
F         ,31945.68
F         ,58187.4
F         ,94011.84
F         ,55417.8
F         ,54256.92
F         ,55259.76
M           ,45799.8
F         ,25532.64
F         ,50379.84
F         ,60958.44
F         ,45799.8
M           ,56987.4
F         ,58989
F         ,51185.04
M           ,45799.8
F         ,69999.96
F         ,57080.4
F         ,55678.8
F         ,55417.8
F         ,35915.64
F         ,40897.8
F         ,65496.96
M           ,45799.8
F         ,66077.16
M           ,62350.92
F         ,55417.8
M           ,45799.8
F         ,67876.08
F         ,45799.8
F         ,60642.96
F         ,61460.16
F         ,55129.92
M           ,55129.92
M           ,45799.8
F         ,70364.76
M           ,65000.04
F         ,56987.4
M           ,42335.52
M           ,55129.92
F         ,32652.48
F         ,55417.8
F         ,53715.72
M           ,61548.84
F         ,44594.88
F         ,55129.92
F         ,58398.96
F         ,50533.44
F         ,45799.8
F         ,58989
F         ,57249.48
F         ,30147.36
F         ,25532.76
F         ,56374.92
F         ,55129.92
M           ,55417.8
F         ,64288.8
M           ,57249.48
F         ,50379.84
F         ,55417.8
M           ,62068.08
F         ,52908
M           ,45799.8
F         ,45799.8
F         ,58398.96
F         ,52908
F         ,58398.96
F         ,46173.6
F         ,52188.24
M           ,78945.6
F         ,52908
M           ,45799.8
M           ,56987.4
M           ,54274.32
F         ,62449.44
F         ,57249.48
F         ,52908
F         ,27268.92
F         ,52908
F         ,50379.84
F         ,23781
F         ,45799.8
F         ,50839.8
F         ,53624.52
F         ,58398.96
F         ,25532.76
F         ,52698
F         ,45799.8
F         ,27683.88
F         ,45799.8
F         ,48098.16
F         ,64398.96
F         ,60579.36
F         ,57249.48
F         ,58187.4
F         ,58305.6
M           ,48098.16
F         ,66905.76
F         ,59529.24
F         ,45799.8
F         ,62208
F         ,46173.6
F         ,25594.2
F         ,58989
F         ,45308.64
F         ,75000
F         ,61524.96
M           ,60889.8
F         ,58398.96
